24694601.15 0.00052
24817256.46 0.00053
24941136.27 0.00066
25066259.03 0.00085
25192643.53 0.00098
25320308.95 0.00124
25449274.87 0.00183
25579561.26 0.00249
25711188.51 0.00297
25844177.41 0.004
25978549.22 0.00662
26114325.61 0.00986
26251528.72 0.01165
26390181.16 0.01413
26530306.02 0.01983
26671926.87 0.02622
26815067.80 0.03177
26959753.42 0.0399
27106008.86 0.05481
27253859.82 0.07643
27403332.54 0.10171
27554453.86 0.13068
27707251.20 0.16883
27861752.60 0.22015
28017986.73 0.27922
28175982.89 0.33876
28335771.08 0.4051
28497381.94 0.48795
28660846.85 0.57388
28826197.88 0.64752
28993467.89 0.709
29162690.47 0.76203
29333900.00 0.80302
29507131.69 0.82995
29682421.58 0.84933
29859806.57 0.86707
30039324.45 0.88315
30221013.91 0.89926
30404914.60 0.91714
30591067.14 0.92417
30779513.14 0.91959
30970295.25 0.93146
31163457.17 0.94633
31359043.72 0.93137
31557100.84 0.91319
31757675.64 0.92837
31960816.42 0.96593
32166572.75 0.99479
32374995.46 1
32586136.74 0.98436
32800050.11 0.95935
33016790.53 0.93979
33236414.41 0.92862
33458979.69 0.90547
33684545.84 0.86359
33913173.98 0.83564
34144926.88 0.81828
34379869.04 0.76242
34618066.74 0.67303
34859588.14 0.59979
35104503.28 0.56555
35352884.20 0.52584
35604804.99 0.43722
35860341.87 0.335
36119573.25 0.28151
36382579.85 0.26482
36649444.74 0.22142
36920253.45 0.15232
37195094.04 0.11469
37474057.25 0.11175
37757236.52 0.09302
38044728.17 0.0605
38336631.46 0.04391
38633048.71 0.04251
38934085.45 0.03956
39239850.52 0.02997
39550456.20 0.02066
39866018.35 0.01646
40186656.57 0.01494
40512494.32 0.0122
40843659.13 0.00789
41180282.69 0.00473
41522501.11 0.00472
41870455.03 0.00465
42224289.86 0.00245
42584155.97 0.00137
42950208.88 0.00152
43322609.54 0.00129
43701524.49 0.00061
