Wavelength Flux
3.183145752000000051e-01 -4.525999851458370124e-16
3.185892089999999843e-01 8.848900260406472248e-16
3.188638671999999841e-01 1.490499948602632373e-15
3.191385253999999838e-01 1.773099997718057680e-15
3.194131592000000186e-01 1.227100018819093918e-15
3.196878174000000183e-01 1.420899992480575361e-15
3.199624756000000181e-01 8.974300311873919210e-16
3.202371338000000178e-01 1.399700028360221105e-15
3.205117920000000176e-01 1.342599949199032618e-15
3.207864502000000173e-01 2.007500060486450653e-15
3.210611084000000170e-01 1.708699976859194818e-15
3.213357665999999613e-01 1.396300038109942344e-15
3.216104491999999815e-01 1.263699994832597016e-15
3.218851074000000367e-01 1.452599988773330738e-15
3.221597900000000014e-01 1.485900030303449488e-15
3.224344482000000012e-01 1.143099973198121767e-15
3.227091308999999741e-01 1.699999995578827493e-15
3.229837891000000294e-01 1.897099903723693283e-15
3.232584716999999941e-01 1.633699973940154829e-15
3.235331542999999588e-01 1.425399960891982239e-15
3.238078368999999790e-01 1.197199967539253930e-15
3.240825194999999992e-01 2.110100102596179986e-15
3.243572021000000194e-01 1.884600026762824759e-15
3.246318847999999924e-01 1.197999990157935617e-15
3.249065674000000126e-01 2.004799931208840758e-15
3.251812743999999977e-01 1.412200011200208036e-15
3.254559569999999624e-01 9.181199755943806814e-16
3.257306395999999826e-01 1.345899989561535372e-15
3.260053467000000316e-01 5.614500186755598098e-16
3.262800292999999963e-01 2.551099971529369355e-15
3.265547363000000369e-01 1.317300027976612328e-15
3.268294433999999749e-01 2.396999902710104935e-15
3.271041503999999600e-01 2.277600020882770623e-15
3.273788329999999802e-01 1.498899974340553269e-15
3.276535400000000209e-01 2.154100076074251871e-15
3.279282471000000143e-01 2.067600012709458653e-15
3.282029540999999995e-01 1.784999963594033345e-15
3.284776855000000051e-01 2.527700051086758867e-15
3.287523925999999985e-01 2.077200072375402079e-15
3.290270996000000392e-01 1.891400007263382282e-15
3.293018066000000243e-01 3.134799904602964329e-15
3.295765381000000382e-01 3.145299936775365450e-15
3.298512451000000234e-01 2.324000062216887569e-15
3.301259766000000373e-01 2.220199986179135707e-15
3.304006836000000225e-01 2.557300040945034020e-15
3.306754150000000281e-01 2.423099952430325318e-15
3.309501464999999865e-01 3.699299930102909265e-15
3.312248778999999921e-01 3.394999955670012851e-15
3.314996094000000060e-01 3.357399951383157645e-15
3.317743407999999561e-01 4.030499976874707749e-15
3.320490722999999700e-01 4.451599865503341399e-15
3.323238037000000311e-01 3.433499932463325750e-15
3.325985351999999895e-01 3.728400170522304380e-15
3.328732665999999951e-01 4.185199956778865027e-15
3.331479980000000007e-01 4.529199941933096871e-15
3.334227538999999796e-01 3.934600177135996746e-15
3.336974853999999935e-01 3.648300076348727841e-15
3.339722412000000196e-01 4.183599911541501654e-15
3.342469727000000335e-01 4.412699877400687656e-15
3.345217285000000040e-01 4.786899975256324324e-15
3.347964599999999624e-01 4.663499980335581580e-15
3.350712157999999885e-01 4.370900072003108816e-15
3.353459717000000229e-01 4.690899802113363687e-15
3.356207274999999934e-01 5.014199996102594939e-15
3.358954834000000278e-01 4.438600027345356025e-15
3.361702393000000066e-01 4.942499927666939297e-15
3.364449951000000327e-01 4.856700148791288571e-15
3.367197510000000116e-01 3.435800050431594803e-15
3.369945067999999821e-01 4.116600028930160124e-15
3.372692627000000165e-01 4.637499880503137203e-15
3.375440185999999954e-01 5.489100029409032730e-15
3.378187987999999864e-01 4.593800180204866968e-15
3.380935547000000208e-01 4.365000064009008987e-15
3.383683349999999646e-01 6.388699841369934948e-15
3.386430907999999906e-01 5.965199884885256237e-15
