Wavelength Flux
9.495639999999999636e-02 6.515771808820319810e-14
9.505159999999999998e-02 9.113713337607562415e-14
9.514679999999998972e-02 1.531530436325867495e-13
9.524219999999999908e-02 1.939227587104824790e-13
9.533769999999999745e-02 2.157431676884369320e-13
9.543329999999999869e-02 2.396143721807020288e-13
9.552900000000000280e-02 2.641418442479726014e-13
9.562469999999999304e-02 2.857981863321756855e-13
9.572060000000000290e-02 3.022044962365522114e-13
9.581660000000000177e-02 3.073725085220302411e-13
9.591260000000000063e-02 3.093412570369380443e-13
9.600879999999999137e-02 3.081928158857327738e-13
9.610499999999999599e-02 3.145912892167646024e-13
9.620140000000000635e-02 3.224663103814501275e-13
9.629779999999998896e-02 3.201694280790395863e-13
9.639430000000000220e-02 3.040092049627629578e-13
9.649099999999999344e-02 3.032709174934089535e-13
9.658769999999999856e-02 3.311616660148924973e-13
9.668450000000000655e-02 3.506031727960878808e-13
9.678150000000000641e-02 3.492906647511312412e-13
9.687849999999999240e-02 3.325562210592519774e-13
9.697559999999999514e-02 2.953138493293205880e-13
9.707280000000000075e-02 2.272276063055439499e-13
9.717009999999999537e-02 1.342037375326454729e-13
9.726749999999999285e-02 9.392620958347669413e-14
9.736509999999999609e-02 1.625866867353831235e-13
9.746269999999999933e-02 2.661105927628804046e-13
9.756040000000000545e-02 3.429742113144479410e-13
9.765820000000000056e-02 3.903885136165297087e-13
9.775609999999999855e-02 4.140136042156405960e-13
9.785409999999999942e-02 4.291074331801147945e-13
9.795220000000000315e-02 4.440371952508376241e-13
9.805039999999999589e-02 4.531427045661312603e-13
9.814869999999999151e-02 4.583927096409035062e-13
9.824710000000000387e-02 4.680724666368540898e-13
9.834560000000000524e-02 4.771779759521477260e-13
9.844419999999999560e-02 4.729943650291779100e-13
9.854279999999999984e-02 4.756193811190911891e-13
9.864160000000000983e-02 4.902209822972569686e-13
9.874049999999999494e-02 4.752912473315884512e-13
9.883949999999999680e-02 4.405098247978189718e-13
9.893860000000000154e-02 4.100760800807706774e-13
9.903780000000000916e-02 4.055643624753524357e-13
9.913709999999999190e-02 4.531427045661312603e-13
9.923650000000000526e-02 4.909592697666109729e-13
9.933590000000000475e-02 5.026897951718178881e-13
9.943549999999999611e-02 4.788185906795527913e-13
9.953520000000000423e-02 4.836584691775280831e-13
9.963500000000000134e-02 5.114671706996087863e-13
9.973490000000000133e-02 5.232797159991642300e-13
9.983490000000000419e-02 5.340258942519715557e-13
9.993490000000000706e-02 5.458384395515269993e-13
1.000351000000000018e-01 5.622447494559035253e-13
1.001353999999999994e-01 5.805377879808393260e-13
1.002357999999999999e-01 5.943191360054111971e-13
1.003363000000000033e-01 6.058855674118124313e-13
1.004369000000000095e-01 6.105614061210906662e-13
1.005375999999999909e-01 6.106434260154391946e-13
1.006383000000000000e-01 6.100691783347822472e-13
1.007392000000000010e-01 6.148270369384090106e-13
1.008402000000000048e-01 6.233582985730456993e-13
1.009412999999999977e-01 6.293466182222262617e-13
1.010424999999999934e-01 6.427177583548382422e-13
1.011437999999999920e-01 6.548584374418964238e-13
1.012451999999999935e-01 6.600264497273744535e-13
1.013466999999999979e-01 6.712648015563815740e-13
1.014482999999999913e-01 6.793038896148184680e-13
1.015500000000000014e-01 6.902961275506713790e-13
1.016518000000000005e-01 7.103118549074693977e-13
1.017537000000000025e-01 7.166282541340440737e-13
1.018557000000000073e-01 7.087532600744128608e-13
1.019578000000000012e-01 6.963664670942004697e-13
1.020601000000000008e-01 6.757765462668541279e-13
1.021624000000000004e-01 6.458350022310599403e-13
1.022648000000000029e-01 5.749596762236186542e-13
1.023672999999999944e-01 4.396074704347135986e-13
1.024699000000000026e-01 2.590558789618974123e-13
1.025727000000000028e-01 1.581569754717862542e-13
1.026755000000000168e-01 2.618449348405077481e-13
1.027784000000000059e-01 4.519122164155231491e-13
1.028815000000000007e-01 6.136785957872037400e-13
1.029845999999999956e-01 7.259798773424919194e-13
1.030877999999999933e-01 7.879137338233366261e-13
1.031911999999999968e-01 8.334413346099134312e-13
1.032945999999999864e-01 8.752774438396115908e-13
1.033981999999999957e-01 8.998869358012306918e-13
1.035018000000000049e-01 8.982463210738256265e-13
1.036056000000000060e-01 8.498476445142899571e-13
1.037094999999999961e-01 8.473866682130737349e-13
1.038134000000000001e-01 9.318792482462812110e-13
1.039174999999999960e-01 9.868404921356543902e-13
1.040217000000000086e-01 1.008989007796057269e-12
1.041259999999999963e-01 1.026215679274244952e-12
1.042303000000000118e-01 1.030317216092757615e-12
1.043347999999999914e-01 1.028676601365352550e-12
1.044394000000000017e-01 1.045082857059620451e-12
1.045441000000000009e-01 1.068051788503943111e-12
1.046489000000000030e-01 1.088559689436940925e-12
1.047538999999999970e-01 1.093481533619156121e-12
1.048588999999999910e-01 1.100864408312696163e-12
1.049640000000000156e-01 1.136138058632774062e-12
1.050692000000000015e-01 1.161567803747987071e-12
1.051744999999999902e-01 1.169770985805229646e-12
1.052799999999999986e-01 1.182075704680984884e-12
1.053855000000000069e-01 1.202583605613982698e-12
1.054912000000000072e-01 1.218989969728467848e-12
1.055969000000000074e-01 1.244419714843680858e-12
1.057027999999999995e-01 1.273951105197623779e-12
1.058087999999999945e-01 1.291998084039513994e-12
1.059147999999999895e-01 1.288716854584703864e-12
1.060210000000000041e-01 1.294459006130621592e-12
1.061272999999999939e-01 1.323990396484564513e-12
1.062337000000000004e-01 1.319068552302349318e-12
1.063402000000000097e-01 1.310045062881404210e-12
1.064468000000000081e-01 1.348599942656292239e-12
1.065535000000000093e-01 1.358443739440939879e-12
1.066603000000000134e-01 1.343677990053859794e-12
1.067672999999999955e-01 1.342037375326454729e-12
1.068742999999999915e-01 1.369928150952992585e-12
1.069814000000000043e-01 1.433092468479391091e-12
1.070886999999999950e-01 1.474928577709089250e-12
1.071959999999999996e-01 1.492975556550979466e-12
1.073035000000000100e-01 1.500358431244519508e-12
1.074111000000000093e-01 1.525788176359732518e-12
1.075188000000000116e-01 1.556139874077377971e-12
1.076265000000000138e-01 1.587311987578943207e-12
1.077344000000000079e-01 1.629968404172343899e-12
1.078423999999999910e-01 1.662781023981096951e-12
1.079506000000000077e-01 1.693132721698742404e-12
1.080587999999999965e-01 1.719382882597875195e-12
1.081671000000000021e-01 1.727586064655117770e-12
1.082755000000000106e-01 1.726765757291415238e-12
1.083840999999999832e-01 1.693132721698742404e-12
1.084926999999999975e-01 1.680007695459284633e-12
1.086015000000000036e-01 1.752195502406628247e-12
1.087103999999999987e-01 1.845711517650672207e-12
1.088193999999999967e-01 1.882625782698155170e-12
1.089285000000000114e-01 1.902313376267450451e-12
1.090377000000000013e-01 1.908055527813368180e-12
1.091470000000000079e-01 1.925282199291555862e-12
1.092564000000000035e-01 1.974501291635011313e-12
1.093659000000000159e-01 2.016337400864709473e-12
