name,mean_final_rating,grade,object_type,r_e,r_e_err,objid_lens,objid,ra,dec,g,r,i,z
DELJ112923-380852,1.1666666666666667,A,lens,3.9478334634688492,0.47458766371751016,10998100205590.0,10998100205590.0,172.34704779614137,-38.14802656330043,18.359371,17.306929,16.73041,16.490126
DELJ112923-380852,1.1666666666666667,A,source,,,10998100205590.0,nan,172.3484093,-38.1477896,,,,
DELJ113448-123507,1.25,A,lens,1.4638342667739295,0.3013431061196119,10742100179352.0,10742100179352.0,173.70117885384445,-12.585304430651787,21.243567000000002,19.573220000000003,18.975158999999998,18.53442
DELJ113448-123507,1.25,A,source,,,10742100179352.0,10742100008735.0,173.7015897293322,-12.585371786210144,21.392876,,,
DELJ113857-143316,1.0,A,lens,2.4666532577688964,0.36676826709406835,10767800082040.0,10767800082040.0,174.73993409959152,-14.55445018313769,20.552235,19.100203,18.819760000000002,18.573435
DELJ113857-143316,1.0,A,source,,,10767800082040.0,10767800012166.0,174.73951149128467,-14.553833456751716,22.076313,,,
DELJ113857-143316,1.0,A,source,,,10767800082040.0,10767800012167.0,174.74005538193703,-14.555171110627427,21.52402,,,
DELJ113857-143316,1.0,A,source,,,10767800082040.0,10767800012168.0,174.74009004501218,-14.553884914708009,21.751526000000002,,,
DELJ114000-302712,1.0,A,lens,2.582813279254759,0.36388488642772304,10921400145134.0,10921400145134.0,175.00320750911274,-30.453333535235657,21.794844,20.650522,20.037804,19.617817000000002
DELJ114000-302712,1.0,A,source,,,10921400145134.0,10921400139902.0,175.00393101242508,-30.453681949040647,,,22.129107,
DELJ114000-302712,1.0,A,source,,,10921400145134.0,10921400145135.0,175.00394149285012,-30.45336672464437,,,21.321203,
DELJ114000-302712,1.0,A,source,,,10921400145134.0,10921400027305.0,175.00407569833496,-30.453038856419912,23.011886999999998,21.836378,20.888803,
DELJ114736-153230,1.75,A,lens,4.387086535186874,0.37775623931625774,10780700044413.0,10780700044413.0,176.9011560730053,-15.541924978897967,21.525976,19.941074,19.062302,18.724138
DELJ114736-153230,1.75,A,source,,,10780700044413.0,10780700044414.0,176.9019747684126,-15.542766382210688,21.703415,21.91206,,
DELJ114736-153230,1.75,A,source,,,10780700044413.0,10780700044416.0,176.90211495805684,-15.542656874982185,21.470932,22.15863,21.06237,
DELJ114736-153230,1.75,A,source,,,10780700044413.0,10780700044415.0,176.90243048014713,-15.541429545217907,21.519045000000002,20.541721,20.079393,19.718006
DELJ115429-215047,1.6666666666666667,A,lens,3.209918681330278,0.3570572253931235,10844700077923.0,10844700077923.0,178.62165047210564,-21.846432104069194,21.298706,20.526487,19.648888,19.589164999999998
DELJ115429-215047,1.6666666666666667,A,source,,,10844700077923.0,10844700008829.0,178.6214977683519,-21.845596955418344,22.420471,,21.528510999999998,
DELJ115429-215047,1.6666666666666667,A,source,,,10844700077923.0,10844700205082.0,178.62162707722598,-21.847273377571803,,21.609188,,22.62952
DELJ115429-215047,1.6666666666666667,A,source,,,10844700077923.0,10844700008827.0,178.62269442702026,-21.846248162460284,21.952126,21.231495000000002,20.853825,20.816689
DELJ120944-203607,1.5,A,lens,2.7431792923385894,0.3267575191806919,10832100081054.0,10832100081054.0,182.43584595423508,-20.60216446767562,18.722513,17.798956,17.523127,17.168814
DELJ120944-203607,1.5,A,source,,,10832100081054.0,nan,182.4353195,-20.6028145,,,,
DELJ120944-203607,1.5,A,source,,,10832100081054.0,nan,182.4361786,-20.6015283,,,,
DELJ121355-085150,0.75,A,lens,2.9607514426228496,0.3962827917660984,10704100145350.0,10704100145350.0,183.48126134016246,-8.863937795211882,21.747076,20.290169,19.662207000000002,19.31311
DELJ121355-085150,0.75,A,source,,,10704100145350.0,10704100148031.0,183.4812649816721,-8.864760218297732,21.961317,21.174149,20.97755,20.762972
DELJ121516-333601,1.25,A,lens,3.6731486434921097,1.246024530851106,10947300200925.0,10947300200925.0,183.81762862368046,-33.60044865201009,20.24255,18.608742000000003,17.998192,17.630531
